month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2017-08-01,Bronx,LCL/LTD,BX30,Peak,93792.89,1.097727543,0.107323443,81.6209538
2017-08-01,Bronx,LCL/LTD,BX31,Off-Peak,132828.78,1.586961896,0.404912796,74.9536566
2017-08-01,Bronx,LCL/LTD,BX31,Peak,82509.87,1.445221459,0.147323622,76.571233
2017-08-01,Bronx,LCL/LTD,BX32,Off-Peak,98036.52,2.502314812,1.523426874,65.0812586
2017-08-01,Bronx,LCL/LTD,BX32,Peak,65934.5,1.583394364,1.206720592,70.7052103
2017-08-01,Bronx,LCL/LTD,BX33,Off-Peak,41147.13,2.207562114,0.688163833,76.6816844
2017-08-01,Bronx,LCL/LTD,BX33,Peak,29787.4,1.87061669,0.539216675,75.3174681
2017-08-01,Bronx,LCL/LTD,BX34,Off-Peak,60098.69,1.912776342,0.656913546,74.4718432
2017-08-01,Bronx,LCL/LTD,BX34,Peak,34415.32,2.059601009,-0.085515807,77.5094785
2017-08-01,Bronx,LCL/LTD,BX35,Off-Peak,238845.91,1.428385084,0.154824038,78.5702941
2017-08-01,Bronx,LCL/LTD,BX35,Peak,159659.81,1.319482374,-0.2732247,82.8757716
2017-08-01,Bronx,LCL/LTD,BX36,Off-Peak,394706.93,1.701823675,0.494531228,74.903324
2017-08-01,Bronx,LCL/LTD,BX36,Peak,278868.17,1.609614573,0.199260897,76.6809227
2017-08-01,Bronx,LCL/LTD,BX38,Off-Peak,90959.91,1.299480001,0.362834428,79.9915983
2017-08-01,Bronx,LCL/LTD,BX38,Peak,58251.57,1.029410885,-0.237960219,84.7892907
2017-08-01,Bronx,LCL/LTD,BX39,Off-Peak,298130.06,2.056574986,0.733215981,70.3111674
2017-08-01,Bronx,LCL/LTD,BX39,Peak,191401.16,1.474917333,0.156204511,77.99334
2017-08-01,Bronx,LCL/LTD,BX4,Off-Peak,61313.96,2.932635821,0.942583149,67.2872996
2017-08-01,Bronx,LCL/LTD,BX4,Peak,34425.52,1.768832842,0.246015536,77.4668993
2017-08-01,Bronx,LCL/LTD,BX40,Off-Peak,154506.73,1.629798928,1.161216904,71.7324573
2017-08-01,Bronx,LCL/LTD,BX40,Peak,101957.26,1.449490984,0.909263058,74.570555
2017-08-01,Bronx,LCL/LTD,BX41,Off-Peak,140291.91,1.77599969,-0.617556675,78.62194
2017-08-01,Bronx,LCL/LTD,BX41,Peak,73202.13,1.331756889,-1.000960372,81.7839774
2017-08-01,Bronx,LCL/LTD,BX42,Off-Peak,167558.79,1.661218298,0.946753636,72.0986137
2017-08-01,Bronx,LCL/LTD,BX42,Peak,106561.78,1.564741544,0.725070253,73.2819485
2017-08-01,Bronx,LCL/LTD,BX46,Off-Peak,9668.96,3.625283889,-0.475372893,76.720443
2017-08-01,Bronx,LCL/LTD,BX46,Peak,6474.36,3.32049304,-0.301881578,72.6947395
2017-08-01,Bronx,LCL/LTD,BX4A,Off-Peak,59847.2,2.928816378,0.909308764,67.6690756
2017-08-01,Bronx,LCL/LTD,BX4A,Peak,42376.23,2.01674329,0.104178451,77.4775294
2017-08-01,Bronx,LCL/LTD,BX5,Off-Peak,151937.31,1.608167856,0.793255569,73.2827957
2017-08-01,Bronx,LCL/LTD,BX5,Peak,100256.59,1.553339863,0.985457355,73.3605584
2017-08-01,Bronx,LCL/LTD,BX6,Off-Peak,280670.14,1.604707818,1.526965972,69.4588983
2017-08-01,Bronx,LCL/LTD,BX6,Peak,177938.67,1.304713002,0.912895072,76.0884819
2017-08-01,Bronx,LCL/LTD,BX7,Off-Peak,177154,1.209275352,0.969048618,75.9222957
2017-08-01,Bronx,LCL/LTD,BX7,Peak,121489.81,0.957326468,0.640144092,81.0875043
2017-08-01,Bronx,LCL/LTD,BX8,Off-Peak,96561.41,1.600989144,0.605057069,75.2492835
2017-08-01,Bronx,LCL/LTD,BX8,Peak,75354.68,1.197136728,0.361827519,78.5717056
2017-08-01,Bronx,LCL/LTD,BX9,Off-Peak,351145.43,1.370151203,0.773523964,76.2412239
2017-08-01,Bronx,LCL/LTD,BX9,Peak,241644.11,1.328320829,0.689836795,78.4038092
2017-08-01,Bronx,SBS,BX12+,Off-Peak,406231.58,0.955439584,0.822900011,75.7433578
2017-08-01,Bronx,SBS,BX12+,Peak,271561.52,1.010554992,0.999829616,76.6175137
2017-08-01,Bronx,SBS,BX41+,Off-Peak,146394.1,1.411797302,-0.016483771,78.6355054
2017-08-01,Bronx,SBS,BX41+,Peak,108144.16,1.171204238,-0.585334582,84.2754008
2017-08-01,Brooklyn,EXP,BM1,Off-Peak,9436.16,2.650186019,-0.29385672,69.8958869
2017-08-01,Brooklyn,EXP,BM1,Peak,12895.15,2.343827448,-0.272852496,61.0674437
2017-08-01,Brooklyn,EXP,BM2,Off-Peak,7152.66,3.784242187,6.1319078,31.9927808
2017-08-01,Brooklyn,EXP,BM2,Peak,8281.74,4.251277915,5.62042814,34.9808957
2017-08-01,Brooklyn,EXP,BM3,Off-Peak,6569.91,2.951180554,0.471824088,61.042162
2017-08-01,Brooklyn,EXP,BM3,Peak,8233.96,2.412406595,-0.520241125,63.6910759
2017-08-01,Brooklyn,EXP,BM4,Off-Peak,4080.71,2.680223806,-1.398877877,68.6703551
2017-08-01,Brooklyn,EXP,BM4,Peak,8060.64,3.01139601,-1.341091536,65.003497
2017-08-01,Brooklyn,EXP,BM5,Off-Peak,5114.14,5.066951651,0.833824775,54.254336
2017-08-01,Brooklyn,EXP,BM5,Peak,7772.27,4.32635265,5.371661581,39.9565651
2017-08-01,Brooklyn,EXP,X27,Off-Peak,18643.62,1.960584011,-1.883549896,78.5406771
2017-08-01,Brooklyn,EXP,X27,Peak,24350.24,1.092305631,-2.457794447,84.6786465
2017-08-01,Brooklyn,EXP,X28,Off-Peak,14580.77,2.16484474,-4.670454168,87.7479696
2017-08-01,Brooklyn,EXP,X28,Peak,23825.38,0.906308779,-5.57149358,90.648312
2017-08-01,Brooklyn,EXP,X37,Off-Peak,4272.43,1.183811257,-4.087233527,89.0148276
2017-08-01,Brooklyn,EXP,X37,Peak,18522.1,1.071257564,-5.358086213,87.6982787
2017-08-01,Brooklyn,EXP,X38,Off-Peak,2959.86,0.721124593,-5.41438945,94.4543407
2017-08-01,Brooklyn,EXP,X38,Peak,14872.94,1.023542224,-8.02196288,91.621023
2017-08-01,Brooklyn,LCL/LTD,B1,Off-Peak,238980.64,1.438750288,1.040099177,72.8836677
2017-08-01,Brooklyn,LCL/LTD,B1,Peak,156473.24,1.454838375,0.80831054,75.2514274
2017-08-01,Brooklyn,LCL/LTD,B100,Off-Peak,58844.34,1.081606434,0.993203291,79.5386579
2017-08-01,Brooklyn,LCL/LTD,B100,Peak,64298.89,0.746592455,0.28589803,84.2631063
2017-08-01,Brooklyn,LCL/LTD,B103,Off-Peak,193706.85,2.046387395,1.778740623,64.0264114
2017-08-01,Brooklyn,LCL/LTD,B103,Peak,136180.76,1.694558549,1.575316052,68.0074083
2017-08-01,Brooklyn,LCL/LTD,B11,Off-Peak,129636.43,1.436892493,-0.01916819,78.4383634
2017-08-01,Brooklyn,LCL/LTD,B11,Peak,88232.85,1.140208726,-0.896821051,82.942413
2017-08-01,Brooklyn,LCL/LTD,B12,Off-Peak,195083.48,1.992136465,0.35299492,72.592962
2017-08-01,Brooklyn,LCL/LTD,B12,Peak,107541.72,1.770679616,0.165804233,74.3527347
2017-08-01,Brooklyn,LCL/LTD,B13,Off-Peak,82331.44,2.825607199,0.92038863,67.0954154
2017-08-01,Brooklyn,LCL/LTD,B13,Peak,64992.4,2.473160191,1.039118358,69.4147912
2017-08-01,Brooklyn,LCL/LTD,B14,Off-Peak,88037.44,2.477706641,0.939084059,66.3620395
2017-08-01,Brooklyn,LCL/LTD,B14,Peak,57176.51,1.876900091,0.768707477,68.9747557
2017-08-01,Brooklyn,LCL/LTD,B15,Off-Peak,286841.75,2.506692037,0.586091105,68.2278537
2017-08-01,Brooklyn,LCL/LTD,B15,Peak,161298.27,2.057848999,0.16917121,73.9390505
2017-08-01,Brooklyn,LCL/LTD,B16,Off-Peak,74858.27,2.638203133,0.388954076,67.7091869
2017-08-01,Brooklyn,LCL/LTD,B16,Peak,54144.76,2.348692035,0.569493835,68.8363253
2017-08-01,Brooklyn,LCL/LTD,B17,Off-Peak,128937.2,1.835810877,0.050183681,75.6436033
2017-08-01,Brooklyn,LCL/LTD,B17,Peak,99692.55,1.48738801,-1.038622227,82.9723062
2017-08-01,Brooklyn,LCL/LTD,B2,Off-Peak,23495.06,1.82771292,-1.106411202,90.7563651
2017-08-01,Brooklyn,LCL/LTD,B2,Peak,20541.61,1.206735226,-1.538229307,88.2572503
2017-08-01,Brooklyn,LCL/LTD,B20,Off-Peak,92406.85,1.823586262,0.019077593,75.9714686
2017-08-01,Brooklyn,LCL/LTD,B20,Peak,63729.55,1.866989914,-0.026761839,75.343873
2017-08-01,Brooklyn,LCL/LTD,B24,Off-Peak,28446.48,4.165736836,0.135098671,63.5557742
2017-08-01,Brooklyn,LCL/LTD,B24,Peak,23091.79,3.037109629,0.253912482,69.48358
2017-08-01,Brooklyn,LCL/LTD,B25,Off-Peak,129842.86,2.356896843,0.682696129,69.0171453
2017-08-01,Brooklyn,LCL/LTD,B25,Peak,61901.04,2.214802609,0.093082241,72.6460493
2017-08-01,Brooklyn,LCL/LTD,B26,Off-Peak,115790.65,1.491326452,0.0865368,75.9410684
2017-08-01,Brooklyn,LCL/LTD,B26,Peak,81762.68,1.226253262,-0.045033479,77.9574611
2017-08-01,Brooklyn,LCL/LTD,B3,Off-Peak,149557.78,1.145481615,0.650753391,78.3450196
2017-08-01,Brooklyn,LCL/LTD,B3,Peak,110067.98,1.093848024,0.34918766,80.6177162
2017-08-01,Brooklyn,LCL/LTD,B31,Off-Peak,26397.97,1.160235798,-0.069919477,90.3489145
2017-08-01,Brooklyn,LCL/LTD,B31,Peak,24760.47,1.084331106,-0.65511384,85.335929
2017-08-01,Brooklyn,LCL/LTD,B32,Off-Peak,8451.58,3.705141563,-0.326102278,74.6403499
2017-08-01,Brooklyn,LCL/LTD,B32,Peak,9447.21,2.83888701,-0.459226541,78.0188981
2017-08-01,Brooklyn,LCL/LTD,B35,Off-Peak,399824.82,1.892861844,1.375759159,65.9654377
2017-08-01,Brooklyn,LCL/LTD,B35,Peak,249879.64,1.822264792,1.412395967,67.6541619
2017-08-01,Brooklyn,LCL/LTD,B36,Off-Peak,177879.41,1.188032333,0.808688688,77.2387002
2017-08-01,Brooklyn,LCL/LTD,B36,Peak,136874.49,1.051004223,0.56560179,81.3179364
2017-08-01,Brooklyn,LCL/LTD,B37,Off-Peak,36177.66,3.091061675,1.373261995,64.2389556
2017-08-01,Brooklyn,LCL/LTD,B37,Peak,29379.07,2.723374305,1.019466897,67.3475505
2017-08-01,Brooklyn,LCL/LTD,B38,Off-Peak,248932.7,1.439027292,0.433121038,74.6490913
2017-08-01,Brooklyn,LCL/LTD,B38,Peak,178211.91,1.271715146,-0.215604972,79.6352411
2017-08-01,Brooklyn,LCL/LTD,B4,Off-Peak,70182.19,2.221405198,0.371548222,76.4273239
2017-08-01,Brooklyn,LCL/LTD,B4,Peak,59938.7,1.956167124,0.403265771,75.6035727
2017-08-01,Brooklyn,LCL/LTD,B41,Off-Peak,320089.71,2.151749459,0.472020646,70.10149
2017-08-01,Brooklyn,LCL/LTD,B41,Peak,193611.21,2.31551759,0.744780369,68.2510908
2017-08-01,Brooklyn,LCL/LTD,B43,Off-Peak,131719.2,2.077530057,0.376494532,71.9116179
2017-08-01,Brooklyn,LCL/LTD,B43,Peak,94277.19,1.110471123,-0.004198843,80.417118
2017-08-01,Brooklyn,LCL/LTD,B44,Off-Peak,228963.3,2.234467617,0.376746758,71.3277316
2017-08-01,Brooklyn,LCL/LTD,B44,Peak,130891.48,2.296917655,0.377964643,69.7864176
2017-08-01,Brooklyn,LCL/LTD,B45,Off-Peak,81539.16,2.351650624,0.773458116,68.3094784
2017-08-01,Brooklyn,LCL/LTD,B45,Peak,53073.91,1.942703892,0.808175957,71.7268909
2017-08-01,Brooklyn,LCL/LTD,B46,Off-Peak,254861.33,1.785098192,-0.264400882,77.3821841
2017-08-01,Brooklyn,LCL/LTD,B46,Peak,143639.43,1.809101381,-0.121137251,78.2522752
2017-08-01,Brooklyn,LCL/LTD,B47,Off-Peak,133015.22,2.5495809,0.728991687,68.2800552
2017-08-01,Brooklyn,LCL/LTD,B47,Peak,92977.7,1.815481781,0.380935912,73.2364701
2017-08-01,Brooklyn,LCL/LTD,B48,Off-Peak,47134.18,2.50740884,0.539580791,73.174764
2017-08-01,Brooklyn,LCL/LTD,B48,Peak,36531.28,1.909408253,0.57940178,76.383589
2017-08-01,Brooklyn,LCL/LTD,B49,Off-Peak,143660.76,1.809898714,0.236256152,75.1178695
2017-08-01,Brooklyn,LCL/LTD,B49,Peak,91451.07,1.623272539,0.225838271,76.4049799
2017-08-01,Brooklyn,LCL/LTD,B52,Off-Peak,146616.86,1.397884748,0.509881105,75.691055
2017-08-01,Brooklyn,LCL/LTD,B52,Peak,97910.59,1.54123058,0.444724208,75.4716662
2017-08-01,Brooklyn,LCL/LTD,B54,Off-Peak,111981.38,1.45198826,-0.356884923,77.4874507
2017-08-01,Brooklyn,LCL/LTD,B54,Peak,84799.49,1.279158355,0.076123766,77.5847543
2017-08-01,Brooklyn,LCL/LTD,B57,Off-Peak,95624.12,2.61996686,0.415279847,69.5738781
2017-08-01,Brooklyn,LCL/LTD,B57,Peak,75584.58,2.211786669,0.473193967,70.6288401
2017-08-01,Brooklyn,LCL/LTD,B6,Off-Peak,524471.37,1.563207543,0.569434894,74.7502208
2017-08-01,Brooklyn,LCL/LTD,B6,Peak,342090.55,1.754498343,0.673550189,73.5648884
2017-08-01,Brooklyn,LCL/LTD,B60,Off-Peak,123767.82,2.518991141,0.491533823,69.3254845
2017-08-01,Brooklyn,LCL/LTD,B60,Peak,91786.53,1.547657762,0.057349199,76.0086003
2017-08-01,Brooklyn,LCL/LTD,B61,Off-Peak,120919.99,1.487440091,-0.323622236,79.0059098
2017-08-01,Brooklyn,LCL/LTD,B61,Peak,86748.55,1.275407337,-0.672665792,82.233205
2017-08-01,Brooklyn,LCL/LTD,B62,Off-Peak,83603.78,2.956998607,0.024436418,68.7587472
2017-08-01,Brooklyn,LCL/LTD,B62,Peak,68066.05,2.191643656,0.118475957,72.6227098
2017-08-01,Brooklyn,LCL/LTD,B63,Off-Peak,190938.68,1.858836605,0.285213339,74.4526407
2017-08-01,Brooklyn,LCL/LTD,B63,Peak,112506.42,1.827492053,0.418559843,72.2754977
2017-08-01,Brooklyn,LCL/LTD,B64,Off-Peak,62591.76,1.877870784,0.102904029,80.8820719
2017-08-01,Brooklyn,LCL/LTD,B64,Peak,45750.75,1.431818184,-0.198542977,83.4521781
2017-08-01,Brooklyn,LCL/LTD,B65,Off-Peak,41730.25,2.470807793,0.138117176,71.5061002
2017-08-01,Brooklyn,LCL/LTD,B65,Peak,30646.02,1.464161647,-0.363809849,77.1784969
2017-08-01,Brooklyn,LCL/LTD,B67,Off-Peak,62925.11,2.169933913,0.140414918,75.5946445
2017-08-01,Brooklyn,LCL/LTD,B67,Peak,54490.41,1.191565149,-0.224906565,83.8279566
2017-08-01,Brooklyn,LCL/LTD,B68,Off-Peak,183035.52,1.58047976,1.163218797,71.6622438
2017-08-01,Brooklyn,LCL/LTD,B68,Peak,110624.89,1.431238123,0.448066535,76.3161488
2017-08-01,Brooklyn,LCL/LTD,B69,Off-Peak,48943.55,2.510117488,0.356856316,72.4175232
2017-08-01,Brooklyn,LCL/LTD,B69,Peak,45395.07,1.627444898,-0.087819351,79.8964997
2017-08-01,Brooklyn,LCL/LTD,B7,Off-Peak,66247.13,2.535091025,0.601943085,71.9662646
2017-08-01,Brooklyn,LCL/LTD,B7,Peak,51424.26,1.954757024,0.376805376,75.7738139
2017-08-01,Brooklyn,LCL/LTD,B70,Off-Peak,77379.42,2.11430088,1.044130782,72.481909
2017-08-01,Brooklyn,LCL/LTD,B70,Peak,65023.36,1.713309406,0.522161779,73.5909443
2017-08-01,Brooklyn,LCL/LTD,B74,Off-Peak,44087.48,1.104070082,-0.646620527,82.6882562
2017-08-01,Brooklyn,LCL/LTD,B74,Peak,37377.88,0.739162915,-1.078136393,88.4361959
2017-08-01,Brooklyn,LCL/LTD,B8,Off-Peak,247095.36,1.763912184,0.609446149,73.2128926
2017-08-01,Brooklyn,LCL/LTD,B8,Peak,168877.87,1.893478621,0.800583358,70.517988
2017-08-01,Brooklyn,LCL/LTD,B82,Off-Peak,339248.94,2.120493502,0.588015608,70.3643225
2017-08-01,Brooklyn,LCL/LTD,B82,Peak,245669.66,2.1547156,0.57992183,69.7243239
2017-08-01,Brooklyn,LCL/LTD,B83,Off-Peak,108990.59,1.745834758,0.407975439,73.359054
2017-08-01,Brooklyn,LCL/LTD,B83,Peak,66359.24,1.693208861,-0.118186293,77.0021873
2017-08-01,Brooklyn,LCL/LTD,B84,Off-Peak,6017.54,2.479432363,0.108230839,83.9179526
2017-08-01,Brooklyn,LCL/LTD,B84,Peak,4210.36,3.080539139,0.068313449,83.4170507
2017-08-01,Brooklyn,LCL/LTD,B9,Off-Peak,174809.89,1.590251043,0.94779739,71.9804664
2017-08-01,Brooklyn,LCL/LTD,B9,Peak,117254.03,1.157413834,0.782217754,74.4372695
2017-08-01,Brooklyn,SBS,B44+,Off-Peak,212655.8,1.414958308,0.032698702,78.7777086
2017-08-01,Brooklyn,SBS,B44+,Peak,171161.3,1.159552054,0.134317773,81.1349241
2017-08-01,Brooklyn,SBS,B46+,Off-Peak,224007.58,0.991303085,0.308697614,82.3090607
2017-08-01,Brooklyn,SBS,B46+,Peak,178700.53,0.982860047,0.018912731,85.6816111
2017-08-01,Manhattan,LCL/LTD,M1,Off-Peak,105433.82,1.70621725,0.377147691,74.8116486
2017-08-01,Manhattan,LCL/LTD,M1,Peak,84375.81,1.264282371,0.7139988,76.4284071
2017-08-01,Manhattan,LCL/LTD,M10,Off-Peak,101701.53,1.462361518,0.497968071,78.5737598
2017-08-01,Manhattan,LCL/LTD,M10,Peak,65011.83,1.139185718,0.252161877,80.6983521
2017-08-01,Manhattan,LCL/LTD,M100,Off-Peak,198037.82,1.335474204,0.761427598,76.8822062
2017-08-01,Manhattan,LCL/LTD,M100,Peak,122627.15,1.108603675,0.342379846,81.2652256
2017-08-01,Manhattan,LCL/LTD,M101,Off-Peak,231310.3,1.95667624,1.194284194,67.8794357
2017-08-01,Manhattan,LCL/LTD,M101,Peak,143198.04,1.929818466,1.253282061,67.9436802
2017-08-01,Manhattan,LCL/LTD,M102,Off-Peak,127202.57,2.048015487,0.747546458,70.4517589
2017-08-01,Manhattan,LCL/LTD,M102,Peak,76497.07,1.739750923,0.760306713,72.0179631
2017-08-01,Manhattan,LCL/LTD,M103,Off-Peak,108374.08,1.624762611,0.477100818,73.0163221
2017-08-01,Manhattan,LCL/LTD,M103,Peak,65678.95,1.470918394,0.569285815,74.8201824
2017-08-01,Manhattan,LCL/LTD,M104,Off-Peak,111435.43,1.620403526,0.863847994,70.1876623
2017-08-01,Manhattan,LCL/LTD,M104,Peak,58236,1.588712583,0.463961259,75.0555963
2017-08-01,Manhattan,LCL/LTD,M106,Off-Peak,24626.21,1.730493953,-0.006702038,82.3635537
2017-08-01,Manhattan,LCL/LTD,M106,Peak,26249.06,1.266989513,-0.224876184,84.5313473
2017-08-01,Manhattan,LCL/LTD,M11,Off-Peak,134295.5,1.891788616,0.563568896,70.391533
2017-08-01,Manhattan,LCL/LTD,M11,Peak,79096.61,1.497109822,0.082620801,77.081231
2017-08-01,Manhattan,LCL/LTD,M116,Off-Peak,126067.18,1.23467202,0.332118421,80.885081
2017-08-01,Manhattan,LCL/LTD,M116,Peak,93258.92,0.83371259,0.031318497,85.095128
2017-08-01,Manhattan,LCL/LTD,M12,Off-Peak,7944.9,3.329415607,0.156619915,67.4035809
2017-08-01,Manhattan,LCL/LTD,M12,Peak,4784.21,3.032502104,0.574562196,70.0484318
2017-08-01,Manhattan,LCL/LTD,M14A,Off-Peak,117219.01,1.830302014,0.705424482,73.2946159
2017-08-01,Manhattan,LCL/LTD,M14A,Peak,82103.53,1.550850701,0.606842307,77.0707496
2017-08-01,Manhattan,LCL/LTD,M14D,Off-Peak,229493.37,1.48200158,0.060280388,79.2975976
2017-08-01,Manhattan,LCL/LTD,M14D,Peak,163137.15,1.222812182,0.031395165,84.2737279
2017-08-01,Manhattan,LCL/LTD,M15,Off-Peak,180474.25,1.860897806,0.738581252,70.1166672
2017-08-01,Manhattan,LCL/LTD,M15,Peak,98979.6,1.794421048,0.661949719,71.4314665
2017-08-01,Manhattan,LCL/LTD,M2,Off-Peak,115314.04,1.820324708,0.458785694,71.4463317
2017-08-01,Manhattan,LCL/LTD,M2,Peak,84945.34,1.405250946,0.34370085,75.7508738
